no,name,hp,atk,def,spatk,spdef,spd,type1,type2
493,アルセウス,120,120,120,120,120,120,ノーマル,-
494,ビクティニ,100,100,100,100,100,100,エスパー,ほのお
495,ツタージャ,45,45,55,45,55,63,くさ,-
496,ジャノビー,60,60,75,60,75,83,くさ,-
497,ジャローダ,75,75,95,75,95,113,くさ,-
498,ポカブ,65,63,45,45,45,45,ほのお,-
499,チャオブー,90,93,55,70,55,55,ほのお,かくとう
500,エンブオー,110,123,65,100,65,65,ほのお,かくとう
501,ミジュマル,55,55,45,63,45,45,みず,-
502,フタチマル,75,75,60,83,60,60,みず,-
503,ダイケンキ,95,100,85,108,70,70,みず,-
504,ミネズミ,45,55,39,35,39,42,ノーマル,-
505,ミルホッグ,60,85,69,60,69,77,ノーマル,-
506,ヨーテリー,45,60,45,25,45,55,ノーマル,-
507,ハーデリア,65,80,65,35,65,60,ノーマル,-
508,ムーランド,85,100,90,45,90,80,ノーマル,-
509,チョロネコ,41,50,37,50,37,66,あく,-
510,レパルダス,64,88,50,88,50,106,あく,-
511,ヤナップ,50,53,48,53,48,64,くさ,-
512,ヤナッキー,75,98,63,98,63,101,くさ,-
513,バオップ,50,53,48,53,48,64,ほのお,-
514,バオッキー,75,98,63,98,63,101,ほのお,-
515,ヒヤップ,50,53,48,53,48,64,みず,-
516,ヒヤッキー,75,98,63,98,63,101,みず,-
517,ムンナ,76,25,45,67,55,24,エスパー,-
518,ムシャーナ,116,55,85,107,95,29,エスパー,-
519,マメパト,50,55,50,36,30,43,ノーマル,ひこう
520,ハトーボー,62,77,62,50,42,65,ノーマル,ひこう
521,ケンホロウ,80,105,80,65,55,93,ノーマル,ひこう
522,シママ,45,60,32,50,32,76,でんき,-
523,ゼブライカ,75,100,63,80,63,116,でんき,-
524,ダンゴロ,55,75,85,25,25,15,いわ,-
525,ガントル,70,105,105,50,40,20,いわ,-
526,ギガイアス,85,135,130,60,70,25,いわ,-
527,コロモリ,55,45,43,55,43,72,エスパー,ひこう
528,ココロモリ,67,57,55,77,55,114,エスパー,ひこう
529,モグリュー,60,85,40,30,45,68,じめん,-
530,ドリュウズ,110,135,60,50,65,88,じめん,はがね
531,タブンネ,103,60,86,60,86,50,ノーマル,-
532,ドッコラー,75,80,55,25,35,35,かくとう,-
533,ドテッコツ,85,105,85,40,50,40,かくとう,-
534,ローブシン,105,140,95,55,65,45,かくとう,-
535,オタマロ,50,50,40,50,40,64,みず,-
536,ガマガル,75,65,55,65,55,69,みず,じめん
537,ガマゲロゲ,105,85,75,85,75,74,みず,じめん
538,ナゲキ,120,100,85,30,85,45,かくとう,-
539,ダゲキ,75,125,75,30,75,85,かくとう,-
540,クルミル,45,53,70,40,60,42,むし,くさ
541,クルマユ,55,63,90,50,80,42,むし,くさ
542,ハハコモリ,75,103,80,70,70,92,むし,くさ
543,フシデ,30,45,59,30,39,57,むし,どく
544,ホイーガ,40,55,99,40,79,47,むし,どく
545,ペンドラー,60,90,89,55,69,112,むし,どく
546,モンメン,40,27,60,37,50,66,くさ,-
547,エルフーン,60,67,85,77,75,116,くさ,-
548,チュリネ,45,35,50,70,50,30,くさ,-
549,ドレディア,70,60,75,110,75,90,くさ,-
550,バスラオ,70,92,65,80,55,98,みず,-
551,メグロコ,50,72,35,35,35,65,じめん,あく
552,ワルビル,60,82,45,45,45,74,じめん,あく
553,ワルビアル,95,117,70,65,70,92,じめん,あく
554,ダルマッカ,70,90,45,15,45,50,ほのお,-
555,ヒヒダルマ,105,140,55,30,55,95,ほのお,-
555,ヒヒダルマ青,105,30,105,140,105,55,ほのお,エスパー
556,マラカッチ,75,86,67,106,67,60,くさ,-
557,イシズマイ,50,65,85,35,35,55,むし,いわ
558,イワパレス,70,95,125,65,75,45,むし,いわ
559,ズルッグ,50,75,70,35,70,48,あく,かくとう
560,ズルズキン,65,90,115,45,115,58,あく,かくとう
561,シンボラー,72,58,80,103,80,97,エスパー,ひこう
562,デスマス,38,30,85,55,65,30,ゴースト,-
563,デスカーン,58,50,145,95,105,30,ゴースト,-
564,プロトーガ,54,78,103,53,45,22,みず,いわ
565,アバゴーラ,74,108,133,83,65,32,みず,いわ
566,アーケン,55,112,45,74,45,70,いわ,ひこう
567,アーケオス,75,140,65,112,65,110,いわ,ひこう
568,ヤブクロン,50,50,62,40,62,65,どく,-
569,ダストダス,80,95,82,60,82,75,どく,-
570,ゾロア,40,65,40,80,40,65,あく,-
571,ゾロアーク,60,105,60,120,60,105,あく,-
572,チラーミィ,55,50,40,40,40,75,ノーマル,-
573,チラチーノ,75,95,60,65,60,115,ノーマル,-
574,ゴチム,45,30,50,55,65,45,エスパー,-
575,ゴチミル,60,45,70,75,85,55,エスパー,-
576,ゴチルゼル,70,55,95,95,110,65,エスパー,-
577,ユニラン,45,30,40,105,50,20,エスパー,-
578,ダブラン,65,40,50,125,60,30,エスパー,-
579,ランクルス,110,65,75,125,85,30,エスパー,-
580,コアルヒー,62,44,50,44,50,55,みず,ひこう
581,スワンナ,75,87,63,87,63,98,みず,ひこう
582,バニプッチ,36,50,50,65,60,44,こおり,-
583,バニリッチ,51,65,65,80,75,59,こおり,-
584,バイバニラ,71,95,85,110,95,79,こおり,-
585,シキジカ,60,60,50,40,50,75,ノーマル,くさ
586,メブキジカ,80,100,70,60,70,95,ノーマル,くさ
587,エモンガ,55,75,60,75,60,103,でんき,ひこう
588,カブルモ,50,75,45,40,45,60,むし,-
589,シュバルゴ,70,135,105,60,105,20,むし,はがね
590,タマゲタケ,69,55,45,55,55,15,くさ,どく
591,モロバレル,114,85,70,85,80,30,くさ,どく
592,プルリル,55,40,50,65,85,40,みず,ゴースト
593,ブルンゲル,100,60,70,85,105,60,みず,ゴースト
594,ママンボウ,165,75,80,40,45,65,みず,-
595,バチュル,50,47,50,57,50,65,むし,でんき
596,デンチュラ,70,77,60,97,60,108,むし,でんき
597,テッシード,44,50,91,24,86,10,くさ,はがね
598,ナットレイ,74,94,131,54,116,20,くさ,はがね
599,ギアル,40,55,70,45,60,30,はがね,-
600,ギギアル,60,80,95,70,85,50,はがね,-
601,ギギギアル,60,100,115,70,85,90,はがね,-
602,シビシラス,35,55,40,45,40,60,でんき,-
603,シビビール,65,85,70,75,70,40,でんき,-
604,シビルドン,85,115,80,105,80,50,でんき,-
605,リグレー,55,55,55,85,55,30,エスパー,-
606,オーベム,75,75,75,125,95,40,エスパー,-
607,ヒトモシ,50,30,55,65,55,20,ゴースト,ほのお
608,ランプラー,60,40,60,95,60,55,ゴースト,ほのお
609,シャンデラ,60,55,90,145,90,80,ゴースト,ほのお
610,キバゴ,46,87,60,30,40,57,ドラゴン,-
611,オノンド,66,117,70,40,50,67,ドラゴン,-
612,オノノクス,76,147,90,60,70,97,ドラゴン,-
613,クマシュン,55,70,40,60,40,40,こおり,-
614,ツンベアー,95,110,80,70,80,50,こおり,-
615,フリージオ,70,50,30,95,135,105,こおり,-
616,チョボマキ,50,40,85,40,65,25,むし,-
617,アギルダー,80,70,40,100,60,145,むし,-
618,マッギョ,109,66,84,81,99,32,じめん,でんき
619,コジョフー,45,85,50,55,50,65,かくとう,-
620,コジョンド,65,125,60,95,60,105,かくとう,-
621,クリムガン,77,120,90,60,90,48,ドラゴン,-
622,ゴビット,59,74,50,35,50,35,じめん,ゴースト
623,ゴルーグ,89,124,80,55,80,55,じめん,ゴースト
624,コマタナ,45,85,70,40,40,60,あく,はがね
625,キリキザン,65,125,100,60,70,70,あく,はがね
626,バッフロン,95,110,95,40,95,55,ノーマル,-
627,ワシボン,70,83,50,37,50,60,ノーマル,ひこう
628,ウォーグル,100,123,75,57,75,80,ノーマル,ひこう
629,バルチャイ,70,55,75,45,65,60,あく,ひこう
630,バルジーナ,110,65,105,55,95,80,あく,ひこう
631,クイタラン,85,97,66,105,66,65,ほのお,-
632,アイアント,58,109,112,48,48,109,むし,はがね
633,モノズ,52,65,50,45,50,38,あく,ドラゴン
634,ジヘッド,72,85,70,65,70,58,あく,ドラゴン
635,サザンドラ,92,105,90,125,90,98,あく,ドラゴン
636,メラルバ,55,85,55,50,55,60,むし,ほのお
637,ウルガモス,85,60,65,135,105,100,むし,ほのお
638,コバルオン,91,90,129,90,72,108,はがね,かくとう
639,テラキオン,91,129,90,72,90,108,いわ,かくとう
640,ビリジオン,91,90,72,90,129,108,くさ,かくとう
641,トルネロス,79,115,70,125,80,111,ひこう,-
642,ボルトロス,79,115,70,125,80,111,でんき,ひこう
643,レシラム,100,120,100,150,120,90,ドラゴン,ほのお
644,ゼクロム,100,150,120,120,100,90,ドラゴン,でんき
645,ランドロス,89,125,90,115,80,101,じめん,ひこう
646,キュレム,125,130,90,130,90,95,ドラゴン,こおり
647,ケルディオ,91,72,90,129,90,108,みず,かくとう
648,メロエッタ（ボイス）,100,77,77,128,128,90,ノーマル,エスパー
648,メロエッタ（ステップ）,100,128,90,77,77,128,ノーマル,かくとう
